1,مرکزي,0,0,1
2,گيلان,1,1,1
3,مازندران,2,2,1
4,آذربايجان شرقي,3,3,1
5,آذربايجان غربي,4,4,1
6,کرمانشاه,5,5,1
7,خوزستان,6,6,1
8,فارس,7,7,1
9,كرمان,8,8,1
10,خراسان رضوئ,9,9,1
11,اصفهان,10,10,1
12,سيستان وبلوچستان,11,11,1
13,كردستان,12,12,1
14,همدان,13,13,1
15,چهارمحال وبختياري,14,14,1
16,لرستان,15,15,1
17,ايلام,16,16,1
18,كهگيلويه وبويراحمد,17,17,1
19,بوشهر,18,18,1
20,زنجان,19,19,1
21,سمنان,20,20,1
22,يزد,21,21,1
23,هرمزگان,22,22,1
24,تهران,23,23,1
25,اردبيل,24,24,1
26,قم,25,25,1
27,قزوين,26,26,1
28,گلستان,27,27,1
29,خراسان شمالي,28,28,1
30,خراسان جنوبي,29,29,1
31,البرز,30,30,1
